name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_session_expire\` on table \`public.sessions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""sessions"",""type"":""table"",""schema"":""public""}",unused_index_public_sessions_idx_session_expire
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_task_participants_user_id\` on table \`public.task_participants\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""task_participants"",""type"":""table"",""schema"":""public""}",unused_index_public_task_participants_idx_task_participants_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_task_participants_task_id\` on table \`public.task_participants\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""task_participants"",""type"":""table"",""schema"":""public""}",unused_index_public_task_participants_idx_task_participants_task_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_transactions_task_id\` on table \`public.transactions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""transactions"",""type"":""table"",""schema"":""public""}",unused_index_public_transactions_idx_transactions_task_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_transactions_user_id\` on table \`public.transactions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""transactions"",""type"":""table"",""schema"":""public""}",unused_index_public_transactions_idx_transactions_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_messages_conversation\` on table \`public.messages\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""messages"",""type"":""table"",""schema"":""public""}",unused_index_public_messages_idx_messages_conversation
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_task_completions_user_status\` on table \`public.task_completions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""task_completions"",""type"":""table"",""schema"":""public""}",unused_index_public_task_completions_idx_task_completions_user_status
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_user_achievements_user_id\` on table \`public.user_achievements\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""user_achievements"",""type"":""table"",""schema"":""public""}",unused_index_public_user_achievements_idx_user_achievements_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_user_challenges_user_id\` on table \`public.user_challenges\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""user_challenges"",""type"":""table"",""schema"":""public""}",unused_index_public_user_challenges_idx_user_challenges_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_messages_from_user_id\` on table \`public.messages\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""messages"",""type"":""table"",""schema"":""public""}",unused_index_public_messages_idx_messages_from_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_messages_to_user_id\` on table \`public.messages\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""messages"",""type"":""table"",""schema"":""public""}",unused_index_public_messages_idx_messages_to_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_payments_payee_id\` on table \`public.payments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""payments"",""type"":""table"",""schema"":""public""}",unused_index_public_payments_idx_payments_payee_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_payments_payer_id\` on table \`public.payments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""payments"",""type"":""table"",""schema"":""public""}",unused_index_public_payments_idx_payments_payer_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_task_completions_task_id\` on table \`public.task_completions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""task_completions"",""type"":""table"",""schema"":""public""}",unused_index_public_task_completions_idx_task_completions_task_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_task_completions_user_id\` on table \`public.task_completions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""task_completions"",""type"":""table"",""schema"":""public""}",unused_index_public_task_completions_idx_task_completions_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_tasks_category_id\` on table \`public.tasks\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""tasks"",""type"":""table"",""schema"":""public""}",unused_index_public_tasks_idx_tasks_category_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_accountability_partnerships_creator_id\` on table \`public.accountability_partnerships\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""accountability_partnerships"",""type"":""table"",""schema"":""public""}",unused_index_public_accountability_partnerships_idx_accountability_partnerships_creator_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_accountability_partnerships_partner_id\` on table \`public.accountability_partnerships\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""accountability_partnerships"",""type"":""table"",""schema"":""public""}",unused_index_public_accountability_partnerships_idx_accountability_partnerships_partner_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_accountability_partnerships_task_completion_id\` on table \`public.accountability_partnerships\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""accountability_partnerships"",""type"":""table"",""schema"":""public""}",unused_index_public_accountability_partnerships_idx_accountability_partnerships_task_completion_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_accountability_partnerships_task_id\` on table \`public.accountability_partnerships\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""accountability_partnerships"",""type"":""table"",""schema"":""public""}",unused_index_public_accountability_partnerships_idx_accountability_partnerships_task_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_barter_transactions_accepter_id\` on table \`public.barter_transactions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""barter_transactions"",""type"":""table"",""schema"":""public""}",unused_index_public_barter_transactions_idx_barter_transactions_accepter_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_barter_transactions_offerer_id\` on table \`public.barter_transactions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""barter_transactions"",""type"":""table"",""schema"":""public""}",unused_index_public_barter_transactions_idx_barter_transactions_offerer_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_barter_transactions_task_completion_id\` on table \`public.barter_transactions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""barter_transactions"",""type"":""table"",""schema"":""public""}",unused_index_public_barter_transactions_idx_barter_transactions_task_completion_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_barter_transactions_task_id\` on table \`public.barter_transactions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""barter_transactions"",""type"":""table"",""schema"":""public""}",unused_index_public_barter_transactions_idx_barter_transactions_task_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_escrow_transactions_buyer_id\` on table \`public.escrow_transactions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""escrow_transactions"",""type"":""table"",""schema"":""public""}",unused_index_public_escrow_transactions_idx_escrow_transactions_buyer_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_escrow_transactions_seller_id\` on table \`public.escrow_transactions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""escrow_transactions"",""type"":""table"",""schema"":""public""}",unused_index_public_escrow_transactions_idx_escrow_transactions_seller_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_escrow_transactions_task_completion_id\` on table \`public.escrow_transactions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""escrow_transactions"",""type"":""table"",""schema"":""public""}",unused_index_public_escrow_transactions_idx_escrow_transactions_task_completion_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_payments_task_completion_id\` on table \`public.payments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""payments"",""type"":""table"",""schema"":""public""}",unused_index_public_payments_idx_payments_task_completion_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_referrals_referred_user_id\` on table \`public.referrals\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""referrals"",""type"":""table"",""schema"":""public""}",unused_index_public_referrals_idx_referrals_referred_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_referrals_referrer_user_id\` on table \`public.referrals\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""referrals"",""type"":""table"",""schema"":""public""}",unused_index_public_referrals_idx_referrals_referrer_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_safety_reports_reported_user_id\` on table \`public.safety_reports\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""safety_reports"",""type"":""table"",""schema"":""public""}",unused_index_public_safety_reports_idx_safety_reports_reported_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_safety_reports_reporter_user_id\` on table \`public.safety_reports\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""safety_reports"",""type"":""table"",""schema"":""public""}",unused_index_public_safety_reports_idx_safety_reports_reporter_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_task_products_product_id\` on table \`public.task_products\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""task_products"",""type"":""table"",""schema"":""public""}",unused_index_public_task_products_idx_task_products_product_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_task_products_task_id\` on table \`public.task_products\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""task_products"",""type"":""table"",""schema"":""public""}",unused_index_public_task_products_idx_task_products_task_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_user_activity_user_id\` on table \`public.user_activity\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""user_activity"",""type"":""table"",""schema"":""public""}",unused_index_public_user_activity_idx_user_activity_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_user_challenges_challenge_id\` on table \`public.user_challenges\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""user_challenges"",""type"":""table"",""schema"":""public""}",unused_index_public_user_challenges_idx_user_challenges_challenge_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_verification_documents_user_id\` on table \`public.verification_documents\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""verification_documents"",""type"":""table"",""schema"":""public""}",unused_index_public_verification_documents_idx_verification_documents_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_tasks_earning_potential\` on table \`public.tasks\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""tasks"",""type"":""table"",""schema"":""public""}",unused_index_public_tasks_idx_tasks_earning_potential
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_tasks_approval_status\` on table \`public.tasks\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""tasks"",""type"":""table"",""schema"":""public""}",unused_index_public_tasks_idx_tasks_approval_status
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_tasks_host_id\` on table \`public.tasks\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""tasks"",""type"":""table"",""schema"":""public""}",unused_index_public_tasks_idx_tasks_host_id